,location,total_sqft,bath,price,bhk
69,5th Phase JP Nagar,552.0,1.0,23.5,1.0
74,5th Phase JP Nagar,1030.0,2.0,57.0,2.0
75,5th Phase JP Nagar,1200.0,2.0,68.0,2.0
81,5th Phase JP Nagar,1010.0,2.0,57.0,2.0
83,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
84,6th Phase JP Nagar,1192.0,2.0,74.0,2.0
85,6th Phase JP Nagar,1180.0,2.0,80.0,2.0
86,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
87,6th Phase JP Nagar,1645.0,3.0,100.0,3.0
88,6th Phase JP Nagar,1140.0,2.0,65.0,2.0
89,6th Phase JP Nagar,2040.0,3.0,200.0,3.0
91,6th Phase JP Nagar,1170.0,2.0,120.0,2.0
94,6th Phase JP Nagar,2003.0,3.0,200.0,3.0
95,6th Phase JP Nagar,1810.0,3.0,131.0,3.0
96,6th Phase JP Nagar,1515.0,2.0,135.0,2.0
97,6th Phase JP Nagar,1192.0,2.0,75.0,2.0
98,6th Phase JP Nagar,1280.0,2.0,88.0,2.0
99,7th Phase JP Nagar,1080.0,2.0,72.0,2.0
100,7th Phase JP Nagar,1270.0,2.0,93.0,2.0
101,7th Phase JP Nagar,1420.0,2.0,100.0,2.0
102,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
103,7th Phase JP Nagar,1245.0,2.0,94.0,2.0
104,7th Phase JP Nagar,1175.0,2.0,82.0,2.0
105,7th Phase JP Nagar,1400.0,2.0,95.0,2.0
106,7th Phase JP Nagar,2225.0,3.0,160.0,3.0
107,7th Phase JP Nagar,1050.0,2.0,71.0,2.0
109,7th Phase JP Nagar,918.0,2.0,50.49,2.0
110,7th Phase JP Nagar,1450.0,2.0,100.0,2.0
112,7th Phase JP Nagar,1420.0,2.0,96.0,2.0
113,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
114,7th Phase JP Nagar,980.0,2.0,69.0,2.0
115,7th Phase JP Nagar,1180.0,2.0,72.0,2.0
119,7th Phase JP Nagar,1400.0,3.0,115.0,3.0
120,7th Phase JP Nagar,1270.0,2.0,83.0,2.0
122,7th Phase JP Nagar,2503.0,4.0,188.0,4.0
123,7th Phase JP Nagar,2200.0,3.0,190.0,3.0
126,7th Phase JP Nagar,1575.0,2.0,110.0,2.0
127,7th Phase JP Nagar,1850.0,3.0,140.0,3.0
128,7th Phase JP Nagar,1575.0,2.0,120.0,2.0
129,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
130,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
131,7th Phase JP Nagar,1175.0,2.0,82.5,2.0
134,7th Phase JP Nagar,1215.0,2.0,90.0,2.0
135,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
136,7th Phase JP Nagar,1300.0,3.0,89.13,3.0
137,7th Phase JP Nagar,1130.0,2.0,73.0,2.0
138,7th Phase JP Nagar,1450.0,3.0,100.0,3.0
141,7th Phase JP Nagar,1275.0,2.0,87.0,2.0
143,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
145,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
146,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
149,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
150,7th Phase JP Nagar,1675.0,2.0,135.0,2.0
152,7th Phase JP Nagar,1850.0,3.0,155.0,3.0
153,7th Phase JP Nagar,1000.0,2.0,61.0,2.0
154,7th Phase JP Nagar,1460.0,2.0,100.0,2.0
155,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
157,7th Phase JP Nagar,1000.0,2.0,70.65,2.0
158,7th Phase JP Nagar,1080.0,2.0,75.0,2.0
160,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
161,7th Phase JP Nagar,1460.0,2.0,97.0,2.0
162,7th Phase JP Nagar,1120.0,2.0,65.0,2.0
163,7th Phase JP Nagar,1100.0,3.0,60.0,3.0
164,7th Phase JP Nagar,1790.0,3.0,120.0,3.0
165,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
166,7th Phase JP Nagar,1050.0,2.0,77.0,2.0
167,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
168,7th Phase JP Nagar,1040.0,2.0,75.0,2.0
169,7th Phase JP Nagar,1400.0,2.0,95.0,2.0
170,7th Phase JP Nagar,1800.0,3.0,130.0,3.0
171,7th Phase JP Nagar,1050.0,2.0,68.0,2.0
172,7th Phase JP Nagar,1000.0,2.0,60.0,2.0
173,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
174,7th Phase JP Nagar,1050.0,2.0,77.47,2.0
175,7th Phase JP Nagar,1270.0,2.0,80.0,2.0
177,7th Phase JP Nagar,1680.0,3.0,122.0,3.0
178,7th Phase JP Nagar,1130.0,2.0,85.0,2.0
179,7th Phase JP Nagar,1680.0,3.0,130.0,3.0
180,7th Phase JP Nagar,980.0,2.0,77.44,2.0
181,7th Phase JP Nagar,1680.0,3.0,112.0,3.0
183,7th Phase JP Nagar,2095.0,3.0,150.0,3.0
184,7th Phase JP Nagar,1976.0,3.0,145.0,3.0
185,7th Phase JP Nagar,1600.0,2.0,110.0,2.0
186,7th Phase JP Nagar,1765.0,3.0,118.0,3.0
187,7th Phase JP Nagar,1275.0,2.0,88.0,2.0
188,7th Phase JP Nagar,1450.0,2.0,102.0,2.0
189,7th Phase JP Nagar,1575.0,2.0,110.0,2.0
191,7th Phase JP Nagar,750.0,1.0,47.0,1.0
193,7th Phase JP Nagar,1000.0,1.0,60.0,1.0
195,7th Phase JP Nagar,1430.0,2.0,102.0,2.0
198,7th Phase JP Nagar,1420.0,3.0,90.0,3.0
199,7th Phase JP Nagar,1530.0,2.0,108.0,2.0
200,8th Phase JP Nagar,451.0,1.0,29.9,1.0
205,8th Phase JP Nagar,871.0,2.0,55.0,2.0
214,8th Phase JP Nagar,500.0,1.0,31.0,1.0
220,8th Phase JP Nagar,500.0,1.0,30.0,1.0
225,8th Phase JP Nagar,1504.0,2.0,83.0,2.0
233,8th Phase JP Nagar,500.0,1.0,33.0,1.0
234,8th Phase JP Nagar,1160.0,2.0,95.0,2.0
243,8th Phase JP Nagar,1408.0,3.0,80.0,3.0
247,9th Phase JP Nagar,1100.0,2.0,65.0,2.0
258,9th Phase JP Nagar,600.0,1.0,20.0,1.0
261,9th Phase JP Nagar,1079.0,2.0,60.0,2.0
263,9th Phase JP Nagar,1200.0,2.0,80.0,2.0
269,9th Phase JP Nagar,1522.0,3.0,90.0,3.0
282,AECS Layout,1123.0,2.0,64.0,2.0
292,Abbigere,734.0,1.0,19.82,1.0
300,Abbigere,795.0,1.0,32.6,1.0
301,Abbigere,3000.0,8.0,150.0,8.0
310,Akshaya Nagar,1897.0,3.0,120.0,3.0
312,Akshaya Nagar,1360.0,2.0,85.0,2.0
314,Akshaya Nagar,1410.0,2.0,80.0,2.0
318,Akshaya Nagar,1666.0,3.0,95.0,3.0
319,Akshaya Nagar,1575.0,3.0,90.0,3.0
324,Akshaya Nagar,1092.0,2.0,60.0,2.0
334,Akshaya Nagar,1662.0,3.0,90.0,3.0
336,Akshaya Nagar,1412.0,2.0,88.0,2.0
337,Akshaya Nagar,1434.0,3.0,84.0,3.0
340,Akshaya Nagar,1419.0,2.0,87.0,2.0
346,Akshaya Nagar,1896.0,3.0,102.0,3.0
348,Akshaya Nagar,1225.0,2.0,68.0,2.0
353,Ambalipura,1105.0,2.0,75.0,2.0
354,Ambalipura,1800.0,3.0,110.0,3.0
355,Ambalipura,1150.0,2.0,80.0,2.0
357,Ambalipura,1332.0,2.0,79.0,2.0
358,Ambalipura,1730.0,3.0,120.0,3.0
359,Ambalipura,3500.0,3.0,198.0,3.0
361,Ambalipura,1351.0,2.0,77.0,2.0
363,Ambalipura,1817.0,3.0,102.0,3.0
365,Ambalipura,1303.0,2.0,80.0,2.0
366,Ambalipura,1607.0,2.0,112.0,2.0
367,Ambalipura,770.0,1.0,43.82,1.0
369,Ambalipura,1060.0,2.0,58.5,2.0
370,Ambalipura,1650.0,3.0,100.0,3.0
371,Ambalipura,1607.0,2.0,112.0,2.0
372,Ambalipura,1198.0,2.0,80.0,2.0
373,Ambedkar Nagar,1935.0,4.0,130.0,4.0
374,Ambedkar Nagar,1424.0,2.0,90.0,2.0
375,Ambedkar Nagar,2225.0,4.0,169.0,4.0
376,Ambedkar Nagar,1862.0,3.0,120.0,3.0
377,Ambedkar Nagar,1850.0,4.0,139.0,4.0
379,Ambedkar Nagar,1862.0,3.0,119.0,3.0
380,Ambedkar Nagar,1424.0,2.0,90.0,2.0
382,Ambedkar Nagar,3530.0,4.0,290.0,4.0
383,Ambedkar Nagar,1856.0,3.0,120.0,3.0
384,Ambedkar Nagar,1852.0,3.0,130.0,3.0
386,Ambedkar Nagar,1367.0,2.0,86.0,2.0
387,Ambedkar Nagar,3565.0,4.0,255.0,4.0
388,Ambedkar Nagar,1409.0,2.0,95.0,2.0
390,Ambedkar Nagar,1921.0,4.0,129.0,4.0
393,Ambedkar Nagar,1852.0,4.0,122.0,4.0
395,Ambedkar Nagar,1852.0,3.0,125.0,3.0
397,Ambedkar Nagar,1425.0,2.0,94.0,2.0
401,Amruthahalli,1900.0,3.0,135.0,3.0
403,Amruthahalli,900.0,2.0,60.0,2.0
409,Amruthahalli,1450.0,2.0,85.0,2.0
411,Amruthahalli,1250.0,2.0,79.0,2.0
414,Amruthahalli,1340.0,2.0,75.0,2.0
415,Amruthahalli,2650.0,4.0,175.0,4.0
416,Amruthahalli,1450.0,2.0,90.0,2.0
418,Amruthahalli,485.0,1.0,19.5,1.0
420,Anandapura,1000.0,2.0,55.0,2.0
433,Anandapura,1200.0,2.0,66.0,2.0
438,Ananth Nagar,500.0,1.0,14.0,1.0
446,Ananth Nagar,500.0,1.0,14.0,1.0
460,Ananth Nagar,500.0,1.0,14.0,1.0
463,Anekal,1200.0,1.0,36.0,1.0
466,Anekal,600.0,1.0,16.5,1.0
468,Anekal,530.0,1.0,18.0,1.0
470,Anekal,1200.0,1.0,36.0,1.0
471,Anekal,351.0,1.0,16.0,1.0
475,Anekal,700.0,1.0,19.4,1.0
476,Anekal,1200.0,1.0,36.0,1.0
480,Anekal,620.0,1.0,23.5,1.0
482,Anekal,1200.0,1.0,36.0,1.0
483,Anekal,1200.0,1.0,36.0,1.0
484,Anekal,400.0,1.0,11.5,1.0
485,Anekal,456.0,1.0,15.0,1.0
486,Anekal,1200.0,1.0,36.0,1.0
487,Anekal,1200.0,1.0,36.0,1.0
491,Anekal,680.0,1.0,21.0,1.0
492,Anekal,420.0,1.0,12.5,1.0
493,Anekal,614.0,1.0,28.0,1.0
495,Anekal,625.0,1.0,25.0,1.0
498,Anjanapura,1500.0,3.0,121.0,3.0
509,Ardendale,1750.0,3.0,100.0,3.0
511,Ardendale,2422.0,4.0,160.0,4.0
512,Ardendale,1750.0,3.0,100.0,3.0
514,Ardendale,1728.0,3.0,95.0,3.0
515,Ardendale,2062.0,3.0,140.0,3.0
517,Ardendale,2062.0,3.0,150.0,3.0
519,Ardendale,1224.0,2.0,70.0,2.0
520,Ardendale,1777.26,3.0,105.0,3.0
522,Ardendale,2062.0,3.0,140.0,3.0
525,Ardendale,1723.0,3.0,95.0,3.0
528,Arekere,2060.0,3.0,140.0,3.0
532,Arekere,600.0,1.0,28.0,1.0
535,Arekere,900.0,2.0,50.0,2.0
539,Attibele,450.0,1.0,11.0,1.0
542,Attibele,400.0,1.0,11.0,1.0
543,Attibele,400.0,1.0,12.0,1.0
544,Attibele,400.0,1.0,14.0,1.0
545,Attibele,500.0,1.0,17.0,1.0
547,Attibele,395.0,1.0,10.25,1.0
548,Attibele,420.0,1.0,17.0,1.0
550,Attibele,418.0,1.0,12.0,1.0
552,Attibele,400.0,1.0,10.0,1.0
553,Attibele,695.0,1.0,25.0,1.0
554,Attibele,850.0,1.0,25.0,1.0
556,Attibele,450.0,1.0,12.5,1.0
557,Attibele,995.0,1.0,24.88,1.0
558,Attibele,900.0,1.0,25.0,1.0
560,Attibele,782.0,1.0,19.55,1.0
563,Attibele,400.0,1.0,11.5,1.0
564,Attibele,460.0,1.0,13.0,1.0
566,Attibele,550.0,1.0,11.5,1.0
568,Attibele,410.0,1.0,10.0,1.0
570,Attibele,400.0,1.0,10.25,1.0
572,Attibele,1500.0,3.0,90.0,3.0
573,Attibele,520.0,1.0,15.0,1.0
579,BEML Layout,1200.0,2.0,67.0,2.0
584,BTM 2nd Stage,1850.0,3.0,170.0,3.0
585,BTM 2nd Stage,1200.0,2.0,80.0,2.0
586,BTM 2nd Stage,1274.0,2.0,70.0,2.0
590,BTM 2nd Stage,1280.0,2.0,80.0,2.0
591,BTM 2nd Stage,1100.0,2.0,70.0,2.0
592,BTM 2nd Stage,1000.0,2.0,58.0,2.0
593,BTM 2nd Stage,2990.0,5.0,416.0,5.0
595,BTM 2nd Stage,2200.0,3.0,220.0,3.0
596,BTM 2nd Stage,2780.0,4.0,325.0,4.0
597,BTM 2nd Stage,2400.0,2.0,360.0,2.0
598,BTM 2nd Stage,965.0,2.0,56.0,2.0
599,BTM 2nd Stage,1147.0,2.0,75.0,2.0
600,BTM 2nd Stage,1750.0,3.0,172.0,3.0
601,BTM 2nd Stage,1400.0,2.0,90.0,2.0
602,BTM 2nd Stage,1200.0,2.0,70.0,2.0
606,BTM 2nd Stage,2500.0,3.0,345.0,3.0
609,BTM Layout,1450.0,2.0,81.0,2.0
611,BTM Layout,1458.0,3.0,79.0,3.0
612,BTM Layout,935.0,2.0,51.5,2.0
614,BTM Layout,1600.0,3.0,112.0,3.0
615,BTM Layout,1300.0,2.0,75.0,2.0
617,BTM Layout,450.0,1.0,20.0,1.0
619,BTM Layout,1470.0,2.0,99.0,2.0
641,Badavala Nagar,1494.0,2.0,94.55,2.0
642,Badavala Nagar,1274.0,2.0,81.0,2.0
643,Badavala Nagar,1842.0,3.0,115.0,3.0
644,Badavala Nagar,1494.0,2.0,94.55,2.0
645,Badavala Nagar,1274.0,2.0,81.0,2.0
646,Badavala Nagar,1494.0,2.0,94.55,2.0
647,Badavala Nagar,1842.0,3.0,115.0,3.0
648,Badavala Nagar,1842.0,3.0,115.0,3.0
649,Badavala Nagar,1842.0,3.0,115.0,3.0
650,Balagere,1210.0,2.0,80.9,2.0
651,Balagere,1210.0,2.0,72.0,2.0
652,Balagere,1205.0,2.0,78.5,2.0
653,Balagere,1145.0,2.0,65.0,2.0
655,Balagere,1020.07,2.0,68.38,2.0
656,Balagere,1205.47,2.0,81.0,2.0
657,Balagere,1007.0,2.0,65.0,2.0
658,Balagere,1205.0,2.0,70.0,2.0
659,Balagere,1210.0,2.0,74.0,2.0
660,Balagere,1210.0,2.0,83.0,2.0
661,Balagere,675.0,1.0,45.0,1.0
662,Balagere,656.0,1.0,43.0,1.0
664,Balagere,1012.0,2.0,64.0,2.0
665,Balagere,1007.0,2.0,62.0,2.0
666,Balagere,1007.0,2.0,67.0,2.0
667,Balagere,1007.0,2.0,66.0,2.0
670,Balagere,645.0,1.0,34.18,1.0
672,Balagere,1210.0,2.0,69.0,2.0
673,Balagere,1012.0,2.0,65.0,2.0
674,Balagere,656.0,1.0,38.77,1.0
675,Balagere,645.0,1.0,39.0,1.0
676,Balagere,645.0,1.0,41.0,1.0
677,Balagere,1210.0,2.0,82.0,2.0
678,Balagere,656.0,1.0,34.77,1.0
679,Balagere,1205.0,2.0,73.87,2.0
680,Balagere,1012.0,2.0,70.0,2.0
681,Balagere,1007.0,2.0,68.0,2.0
682,Balagere,1205.0,2.0,67.0,2.0
683,Balagere,1205.0,2.0,79.0,2.0
684,Balagere,1012.0,2.0,68.0,2.0
687,Banashankari,1470.0,2.0,88.64,2.0
688,Banashankari,1300.0,2.0,75.0,2.0
689,Banashankari,1800.0,3.0,115.0,3.0
690,Banashankari,1125.0,2.0,63.0,2.0
692,Banashankari,1310.0,2.0,80.0,2.0
694,Banashankari,1900.0,2.0,170.0,2.0
695,Banashankari,1260.0,2.0,75.0,2.0
698,Banashankari,1350.0,2.0,83.0,2.0
700,Banashankari,1330.0,2.0,78.0,2.0
701,Banashankari,1400.0,2.0,78.0,2.0
702,Banashankari,1700.0,3.0,125.0,3.0
706,Banashankari,2400.0,1.0,200.0,1.0
707,Banashankari,1390.0,2.0,86.0,2.0
710,Banashankari,1290.0,2.0,80.0,2.0
711,Banashankari,2582.0,5.0,250.0,5.0
713,Banashankari,1650.0,3.0,101.0,3.0
715,Banashankari,1181.0,2.0,75.0,2.0
716,Banashankari,1105.0,2.0,90.0,2.0
717,Banashankari,720.0,1.0,60.0,1.0
719,Banashankari,1330.0,2.0,77.0,2.0
721,Banashankari,1185.0,2.0,67.0,2.0
723,Banashankari,1650.0,3.0,90.75,3.0
724,Banashankari,1650.0,3.0,101.0,3.0
725,Banashankari,1310.0,2.0,80.43,2.0
726,Banashankari,600.0,1.0,27.0,1.0
727,Banashankari,1430.0,2.0,87.8,2.0
732,Banashankari,1683.0,3.0,115.0,3.0
733,Banashankari,1800.0,3.0,125.0,3.0
736,Banashankari,1800.0,3.0,175.0,3.0
738,Banashankari,1770.0,3.0,108.0,3.0
739,Banashankari,1800.0,3.0,125.0,3.0
742,Banashankari,1200.0,3.0,74.52,3.0
743,Banashankari,1100.0,2.0,63.0,2.0
745,Banashankari,1260.0,2.0,75.0,2.0
747,Banashankari,1426.0,3.0,85.0,3.0
748,Banashankari Stage II,1700.0,2.0,150.0,2.0
749,Banashankari Stage II,1200.0,2.0,150.0,2.0
750,Banashankari Stage II,1500.0,2.0,120.0,2.0
751,Banashankari Stage II,2400.0,3.0,510.0,3.0
752,Banashankari Stage II,1050.0,3.0,125.0,3.0
754,Banashankari Stage II,1250.0,2.0,110.0,2.0
755,Banashankari Stage II,1260.0,2.0,95.0,2.0
756,Banashankari Stage II,2400.0,2.0,300.0,2.0
757,Banashankari Stage II,1400.0,2.0,100.0,2.0
758,Banashankari Stage II,2800.0,3.0,425.0,3.0
759,Banashankari Stage II,3000.0,3.0,450.0,3.0
760,Banashankari Stage II,1200.0,2.0,198.0,2.0
761,Banashankari Stage II,1245.0,2.0,125.0,2.0
764,Banashankari Stage III,1650.0,3.0,118.0,3.0
765,Banashankari Stage III,2400.0,4.0,240.0,4.0
774,Banashankari Stage III,1304.0,2.0,111.0,2.0
777,Banashankari Stage III,1500.0,2.0,100.0,2.0
778,Banashankari Stage III,2100.0,3.0,147.0,3.0
779,Banashankari Stage III,1420.0,2.0,95.0,2.0
793,Banashankari Stage VI,2200.0,4.0,195.0,4.0
804,Banaswadi,1222.0,2.0,80.0,2.0
808,Banaswadi,527.0,1.0,35.0,1.0
812,Banjara Layout,1200.0,2.0,70.0,2.0
813,Banjara Layout,1050.0,2.0,64.8,2.0
815,Bannerghatta,3012.0,6.0,250.0,6.0
816,Bannerghatta,1665.0,3.0,110.0,3.0
817,Bannerghatta,2370.0,4.0,195.0,4.0
818,Bannerghatta,1100.0,2.0,66.0,2.0
819,Bannerghatta,1113.0,2.0,70.0,2.0
820,Bannerghatta,1200.0,2.0,73.2,2.0
821,Bannerghatta,1070.0,2.0,87.0,2.0
822,Bannerghatta,1776.0,3.0,124.0,3.0
823,Bannerghatta,1776.0,3.0,150.0,3.0
824,Bannerghatta Road,500.0,1.0,18.5,1.0
825,Bannerghatta Road,1050.0,2.0,65.0,2.0
826,Bannerghatta Road,1200.0,2.0,125.0,2.0
827,Bannerghatta Road,1170.0,2.0,66.0,2.0
828,Bannerghatta Road,595.0,1.0,33.32,1.0
829,Bannerghatta Road,1445.0,3.0,95.0,3.0
830,Bannerghatta Road,1640.0,2.0,120.0,2.0
832,Bannerghatta Road,1460.0,2.0,90.0,2.0
834,Bannerghatta Road,1179.0,2.0,66.02,2.0
835,Bannerghatta Road,793.0,2.0,45.0,2.0
837,Bannerghatta Road,1400.0,2.0,78.0,2.0
840,Bannerghatta Road,1654.0,3.0,100.0,3.0
843,Bannerghatta Road,1200.0,2.0,75.0,2.0
845,Bannerghatta Road,595.0,1.0,31.83,1.0
851,Bannerghatta Road,1650.0,3.0,122.0,3.0
852,Bannerghatta Road,912.0,2.0,55.0,2.0
853,Bannerghatta Road,1218.0,2.0,73.0,2.0
855,Bannerghatta Road,1115.0,2.0,65.12,2.0
858,Bannerghatta Road,1600.0,3.0,95.0,3.0
862,Bannerghatta Road,1260.0,2.0,70.0,2.0
865,Bannerghatta Road,1150.0,2.0,65.0,2.0
869,Bannerghatta Road,1725.0,3.0,110.0,3.0
870,Bannerghatta Road,1850.0,6.0,150.0,6.0
873,Bannerghatta Road,1220.0,2.0,80.0,2.0
874,Bannerghatta Road,1130.0,2.0,78.0,2.0
876,Bannerghatta Road,1486.0,3.0,83.22,3.0
881,Bannerghatta Road,2700.0,4.0,260.0,4.0
882,Bannerghatta Road,1200.0,2.0,69.0,2.0
886,Bannerghatta Road,1476.0,3.0,125.0,3.0
890,Bannerghatta Road,1450.0,2.0,87.0,2.0
894,Bannerghatta Road,960.0,2.0,58.0,2.0
895,Bannerghatta Road,1750.0,3.0,130.0,3.0
896,Bannerghatta Road,1275.0,2.0,73.0,2.0
898,Bannerghatta Road,1240.0,2.0,71.0,2.0
900,Bannerghatta Road,1215.0,2.0,68.0,2.0
901,Bannerghatta Road,1215.0,2.0,68.0,2.0
902,Bannerghatta Road,1894.0,3.0,115.0,3.0
907,Bannerghatta Road,630.0,1.0,35.0,1.0
908,Bannerghatta Road,1215.0,2.0,68.0,2.0
909,Bannerghatta Road,1365.0,3.0,76.18,3.0
910,Bannerghatta Road,1115.0,2.0,78.0,2.0
912,Bannerghatta Road,1655.0,3.0,90.0,3.0
914,Bannerghatta Road,1650.0,3.0,94.0,3.0
915,Bannerghatta Road,905.0,2.0,65.0,2.0
917,Bannerghatta Road,2185.0,3.0,120.0,3.0
921,Bannerghatta Road,1340.0,2.0,85.0,2.0
922,Bannerghatta Road,1711.0,3.0,125.0,3.0
929,Bannerghatta Road,1640.0,3.0,105.0,3.0
932,Bannerghatta Road,1527.0,3.0,115.0,3.0
935,Bannerghatta Road,1550.0,3.0,96.0,3.0
936,Bannerghatta Road,1200.0,2.0,78.0,2.0
937,Bannerghatta Road,1885.0,3.0,125.0,3.0
940,Bannerghatta Road,700.0,1.0,31.2,1.0
943,Bannerghatta Road,905.0,2.0,58.0,2.0
945,Bannerghatta Road,1920.0,3.0,122.0,3.0
946,Bannerghatta Road,2400.0,4.0,180.0,4.0
950,Bannerghatta Road,1270.0,2.0,73.0,2.0
951,Bannerghatta Road,1846.0,3.0,120.0,3.0
953,Bannerghatta Road,1655.0,3.0,95.0,3.0
957,Bannerghatta Road,1510.0,2.0,110.0,2.0
960,Bannerghatta Road,1470.0,2.0,85.0,2.0
962,Bannerghatta Road,970.0,2.0,57.0,2.0
963,Bannerghatta Road,1527.0,3.0,142.0,3.0
964,Basavangudi,2337.0,4.0,292.0,4.0
965,Basavangudi,2350.0,3.0,300.0,3.0
966,Basavangudi,1500.0,2.0,143.0,2.0
967,Basavangudi,1850.0,3.0,168.0,3.0
968,Basavangudi,2150.0,3.0,265.0,3.0
969,Basavangudi,1036.0,2.0,105.0,2.0
970,Basavangudi,2600.0,4.0,260.0,4.0
971,Basavangudi,1600.0,2.0,160.0,2.0
972,Basavangudi,1560.0,2.0,145.0,2.0
973,Basavangudi,1825.0,3.0,175.0,3.0
974,Basavangudi,1800.0,3.0,195.0,3.0
975,Basavangudi,1100.0,2.0,93.0,2.0
976,Basavangudi,1542.14,3.0,120.0,3.0
977,Basavangudi,1050.0,2.0,103.0,2.0
978,Basavangudi,1350.0,2.0,130.0,2.0
979,Basavangudi,1485.0,3.0,140.0,3.0
980,Basavangudi,1180.0,2.0,124.0,2.0
981,Basavangudi,1600.0,3.0,130.0,3.0
982,Basavangudi,1200.0,2.0,120.0,2.0
983,Basavangudi,1850.0,3.0,150.0,3.0
984,Basavangudi,2350.0,3.0,300.0,3.0
985,Basavangudi,2453.0,3.0,250.0,3.0
986,Basavangudi,1650.0,3.0,125.0,3.0
987,Basaveshwara Nagar,4500.0,5.0,415.0,5.0
988,Basaveshwara Nagar,1865.0,3.0,145.0,3.0
989,Basaveshwara Nagar,2460.0,7.0,350.0,7.0
990,Basaveshwara Nagar,1200.0,2.0,90.0,2.0
991,Basaveshwara Nagar,2400.0,4.0,310.0,4.0
992,Basaveshwara Nagar,1200.0,2.0,80.0,2.0
993,Basaveshwara Nagar,900.0,2.0,60.0,2.0
994,Basaveshwara Nagar,1900.0,3.0,150.0,3.0
995,Basaveshwara Nagar,1200.0,2.0,85.0,2.0
1000,Battarahalli,1777.0,3.0,100.0,3.0
1004,Battarahalli,1071.0,2.0,62.0,2.0
1011,Battarahalli,1590.0,2.0,102.0,2.0
1091,Bellandur,1767.0,3.0,103.0,3.0
1093,Bellandur,1250.0,2.0,76.0,2.0
1095,Bellandur,1281.0,2.0,74.0,2.0
